name,boats,cityscape,dancing,frost,house,map,moon,police,reflection,rocks,sand,sun,sunset,swimmers,tattoo,tower
elk\0480_244851641.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
office_building\0546_88946513.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildings\0539_1502247363.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dance\0359_69797298.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
traffic\0535_2082338364.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
golf\0588_2550636052.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maps\0332_172369552.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
valley\0459_368135991.jpg,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
officers\0377_2732665312.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
guard\0364_376188242.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
railroad\0561_2406716038.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
terrace\0303_2698925117.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
swimmer\0425_2225615815.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cooling_tower\0489_1360021689.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tower\0507_2567181465.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kauai\0548_176259209.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dancing\0055_1656763052.jpg,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
frost\0415_315324190.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fire_station\0016_21179941.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maps\0058_1304048345.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tugboat\0251_1468381366.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
weapons\0226_2270256255.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dock\0274_2131171442.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
peaks\0521_401721713.jpg,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
chairs\0457_483887759.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
swimmers\0030_1359226898.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chrysanthemums\0417_2478298323.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
turn\0479_1953719823.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
boats\0381_121257824.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office_building\0028_2302807272.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dancing\0066_443592515.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frost\0245_2128813648.jpg,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
sidewalks\0207_2511528551.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maps\0403_201432964.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hands\0398_2702819073.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
officers\0263_545333431.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
avalanche\0430_374033091.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
windmills\0587_8645631.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
raft\0087_51313997.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cooling_tower\0243_234238084.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
cables\0035_563149793.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rowboat\0098_2618205999.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildings\0317_461767566.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dancing\0207_2056679631.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
urban_park\0611_2478983852.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ruins\0437_61096317.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
earthquake\0315_2548695.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
column\0090_163007825.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pepper\0071_195477950.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
building\0487_465075054.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
road\0408_532378275.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coyote\0064_2298902053.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oil_field\0372_1581810897.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
swimmers\0387_2615837999.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
coyote\0534_374442265.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
construction_worker\0031_109772218.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
freighter\0366_2557161056.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nighttime\0220_2364262418.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underpass\0519_236424270.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dust\0094_2129771418.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
forest\0697_218820377.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
railroad\0080_86933979.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
car_crash\0065_2504356169.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
harvest\0216_297343285.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oahu\0415_2420520824.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
swimmers\0424_406220435.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
