name,aeroplane,bicycle,bird,boat,bottle,bus,car,chair,cow,diningtable,horse,motorbike,person,train
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,1,1,0,0,0,0,0,0
48,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,0,0,0,0,0,1,0,0,0,0,0,1,0
89,0,0,0,0,0,0,0,1,0,0,0,0,1,0
91,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,0,1,0,0,0,0,0,0,0,0,0,0,1,0
129,0,1,0,0,0,0,0,0,0,0,0,0,1,0
130,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,1,0,1,0
134,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,1,0,1,0
153,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,1,0,0,0,0,0,1,0
