name,cat,dog,pottedplant,sheep,sofa,tvmonitor
19,1,0,0,0,0,0
36,0,1,0,0,0,0
39,0,0,0,0,0,1
52,0,0,1,0,0,0
65,0,1,0,0,0,0
77,1,0,0,0,0,0
78,0,1,0,0,0,0
99,1,0,0,0,0,0
102,0,0,0,0,1,0
107,0,0,0,1,0,0
118,1,0,0,0,0,0
120,0,1,0,0,0,0
121,0,0,0,0,0,1
122,1,0,0,0,0,0
140,0,1,0,0,1,0
143,1,0,0,0,0,0
187,0,0,0,0,0,1
209,1,0,0,0,0,0
215,1,0,0,0,0,0
225,0,0,0,1,0,0
242,1,0,0,0,0,0
244,0,0,0,1,0,0
246,0,1,0,0,0,0
266,0,1,0,0,0,0
304,0,0,0,0,0,1
307,0,0,1,0,0,0
336,0,1,0,0,0,0
354,1,0,0,0,0,0
391,0,0,1,0,0,0
400,1,0,0,0,0,0
403,1,0,0,0,0,0
416,0,0,0,1,0,0
430,1,0,0,0,0,0
454,0,1,0,0,0,0
484,0,0,1,0,0,0
486,1,0,0,0,0,0
501,0,1,0,0,0,0
503,0,0,0,0,1,0
528,1,0,0,0,0,0
537,0,1,0,0,0,0
544,1,0,0,0,0,0
549,1,0,0,0,0,0
581,0,0,0,1,0,0
582,0,1,0,0,0,0
588,0,0,0,1,0,0
601,0,0,1,0,0,0
609,0,1,0,0,0,0
656,0,1,0,0,0,0
660,0,0,0,0,1,0
676,0,0,0,1,0,0
705,1,0,0,0,0,0
711,0,0,1,0,0,0
720,0,1,0,0,0,0
729,0,0,1,0,0,0
746,0,1,0,0,0,0
756,0,1,0,0,0,0
772,0,1,0,0,0,0
780,0,0,1,0,0,0
794,1,0,0,0,0,0
820,0,0,0,1,0,0
842,0,1,0,0,0,0
849,0,1,0,0,0,0
857,1,0,0,0,0,0
867,0,0,1,0,0,0
868,0,0,1,0,1,0
876,1,0,0,0,0,0
882,0,1,0,0,0,0
889,0,0,1,0,0,0
900,0,0,0,1,0,0
912,1,0,0,0,0,0
919,0,1,0,0,0,0
923,0,0,1,0,1,1
947,0,1,0,0,0,0
958,0,1,0,0,0,0
962,1,0,0,0,0,0
965,0,1,0,0,1,0
989,0,0,0,0,0,1
997,0,0,0,0,1,1
1009,1,0,0,0,0,0
1010,0,0,0,0,0,1
1043,1,0,0,0,0,0
1053,0,1,0,0,0,0
1056,0,1,0,0,0,0
1062,0,0,0,0,0,1
1077,0,0,0,0,0,1
1078,1,0,0,0,0,0
1082,1,0,1,0,0,0
1092,0,1,0,0,0,0
1104,0,1,0,0,0,0
