1shot model: {'num_classes': 16, 'max_epoch': 150, 'resume': '/data2/yanjiexuan/checkpoints/RC-Tran/MKT_fs_checkpoint/ema_fsl_First_Stage_al0.4_lr1e-05_clip_vit_topk32_coco_best_84.071_e8.ckpt', 'evaluation': False, 'threshold': 0.5, 'lr': 1e-05, 'train': False, 'dataset': 'coco', 'inp_seman': 'data/coco/coco_glove_300_coco_sequence.pkl', 'data': '/data2/yanjiexuan/coco/data', 'image_size': 224, 'workers': 4, 'batch_size': 64, 'epis': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'shot': 1, 'fix_sample': False, 'ctx_init': 'a photo of a', 'n_ctx': 4, 'class_token_position': 'end', 'topk': 16, 'lamda': 1.0, 'alpha': 0.5}
=================================================>>>>>>> regular model mAPs for epi ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']:
[tensor(76.2336), tensor(71.6157), tensor(74.8726), tensor(73.3264), tensor(72.8304), tensor(73.6297), tensor(72.6201), tensor(73.5341), tensor(73.3720), tensor(72.7111)]
=================================================>>>>>>> OP, OR, OF1, CP, CR, CF1:
(0.09565170315856181, 0.9993013391000583, 0.17459173382702128, 0.09561249924447147, 0.9992989936334173, 0.17452638847116753)
(0.2012241802174745, 0.9445655248140815, 0.33177017136345704, 0.2143329462032589, 0.9438210787728791, 0.34933514565352775)
(0.25433326207878326, 0.9304182889088549, 0.39946994510145695, 0.27324583963344057, 0.9317478989839183, 0.4225685641764168)
(0.2236290840287867, 0.8788965242505726, 0.35653924625111943, 0.268189803374603, 0.8917506742156818, 0.41236329380264825)
(0.2310277854517752, 0.9150791677028931, 0.36891620462741087, 0.2502147755305486, 0.9238106278928253, 0.39377524237025624)
(0.2970206152477377, 0.8771285087135825, 0.4437685878101824, 0.3244627599437083, 0.8890839689677975, 0.4754240302748722)
(0.278520380822645, 0.9235891985252599, 0.42797831365170247, 0.29874591402907236, 0.9236665241660469, 0.45147053710851826)
(0.29252752005654337, 0.9207730110240404, 0.44399790249818866, 0.32760424156233936, 0.9223591304537733, 0.4834841886495088)
(0.2932914860339887, 0.9268867142146293, 0.44558734411380096, 0.3279488883389793, 0.9293366999189441, 0.48481417504089114)
(0.3491092516143383, 0.8864395235642972, 0.5009340705763073, 0.38144831677448265, 0.8889070652534271, 0.5338224383614499)
=================================================>>>>>>> OP_k, OR_k, OF1_k, CP_k, CR_k, CF1_k:
(0.4059352162749358, 0.8205273226316228, 0.5431571297219024, 0.43162300614051136, 0.835466975519644, 0.5691888859107525)
(0.40510811736308894, 0.8069609196932138, 0.5394188102625697, 0.45714195388824225, 0.809301017612839, 0.5842591522881851)
(0.4085320718436524, 0.7989085221789625, 0.5406141807639261, 0.443771637011261, 0.8048210506704302, 0.5720949012127986)
(0.3785870098246445, 0.7432360654649272, 0.5016468742997984, 0.4752086540447619, 0.7670073707463241, 0.5868359979594877)
(0.40783859563574304, 0.7765398325458012, 0.5348002078135616, 0.46911869985711924, 0.7938870196414647, 0.5897475217063968)
(0.42341353745684235, 0.7892111214580285, 0.5511394977500363, 0.47575717751853625, 0.8045209981152399, 0.5979273045535219)
(0.44761118888899193, 0.8017736738964361, 0.5744953025804571, 0.49703600627173283, 0.8007286633881283, 0.6133484540953789)
(0.4314246111751152, 0.7958062159649356, 0.5595204743895037, 0.49387282670123334, 0.8033479423253875, 0.611694984499152)
(0.4342885504558397, 0.8272516171836125, 0.5695671289819737, 0.5204306926786464, 0.8316572359096249, 0.6402245626252522)
(0.45396822392762853, 0.796950014120305, 0.5784390561510544, 0.5051761453110131, 0.802088953117394, 0.6199143632297955)
mean:73.47456665039063
mean OP, OR, OF1, CP, CR, CF1:
[0.25163352687106344, 0.9203077800818269, 0.3893553519820648, 0.2761805984634905, 0.9243782662258712, 0.41815840039092567]
