1shot model: {'num_classes': 6, 'max_epoch': 150, 'resume': '/data2/yanjiexuan/checkpoints/RC-Tran/MKT_fs_checkpoint/ema_fsl_First_Stage_al0.4_lr1e-05_clip_vit_topk32_voc_best_95.796_e15.ckpt', 'evaluation': False, 'threshold': 0.5, 'lr': 5e-05, 'train': False, 'dataset': 'voc', 'inp_seman': 'data/voc/voc_glove_word2vec.pkl', 'data': '/data2/yanjiexuan/voc', 'image_size': 224, 'workers': 4, 'batch_size': 64, 'epis': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'shot': 1, 'fix_sample': False, 'ctx_init': 'a photo of a', 'n_ctx': 4, 'class_token_position': 'end', 'topk': 16, 'lamda': 1.0, 'alpha': 0.5}
=================================================>>>>>>> regular model mAPs for epi ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']:
[tensor(54.6425), tensor(43.1603), tensor(44.2608), tensor(38.9756), tensor(41.7227), tensor(41.0102), tensor(31.6422), tensor(25.5167), tensor(28.9515), tensor(29.7705)]
=================================================>>>>>>> OP, OR, OF1, CP, CR, CF1:
(0.18830544335449126, 0.9849094567404426, 0.31616341030195383, 0.19280326967572847, 0.990654410824753, 0.32278536473720076)
(0.35008665511265163, 0.8128772635814889, 0.4894003634161115, 0.3673987568673181, 0.7753839876925852, 0.4985639038202101)
(0.2887096774193548, 0.7203219315895373, 0.4122049510650548, 0.3076368200176901, 0.7605286087948033, 0.43807184997967535)
(0.31876379690949225, 0.7263581488933601, 0.4430806996011046, 0.31498385213352204, 0.756722896561485, 0.44481476532048225)
(0.2730187814933578, 0.5995975855130785, 0.37519672647151403, 0.3183932519249722, 0.6694517708456869, 0.4315432510428811)
(0.2326605504587156, 0.6378269617706237, 0.3409518687819306, 0.32292824545266086, 0.6801803179512055, 0.43793751679693654)
(0.21341281669150522, 0.7203219315895373, 0.32927109680386296, 0.2283451599470697, 0.7497702930700741, 0.35007404691651794)
(0.17471513836136734, 0.647887323943662, 0.27521367521367524, 0.18511959039815148, 0.6947785976280217, 0.2923454807852739)
(0.2066813509544787, 0.5663983903420523, 0.30285099515868746, 0.28327277130886314, 0.6203539649389315, 0.3889424245466406)
(0.2553475935828877, 0.7686116700201208, 0.3833416959357753, 0.2656344476032235, 0.7088508936823333, 0.386450585963573)
=================================================>>>>>>> OP_k, OR_k, OF1_k, CP_k, CR_k, CF1_k:
(0.29481641468682507, 0.823943661971831, 0.4342523860021209, 0.31224038980510066, 0.8452099564309116, 0.456017292009738)
(0.36933962264150944, 0.7877263581488934, 0.5028901734104045, 0.3948339059896769, 0.7420069020178762, 0.5154098644795851)
(0.30786516853932583, 0.6891348088531187, 0.42559801180490836, 0.3254438334717249, 0.723568772155473, 0.4489574171511764)
(0.34670050761421317, 0.6871227364185111, 0.460863697705803, 0.33951040244053393, 0.711989768726145, 0.45977725832521726)
(0.2872983870967742, 0.5734406438631791, 0.3828072531900605, 0.3335818996585875, 0.6492909085077909, 0.44073188899212046)
(0.23543990086741015, 0.5734406438631791, 0.3338213762811127, 0.37650939467094063, 0.6249397783169489, 0.4699104138014035)
(0.22778424524641055, 0.5905432595573441, 0.3287594511341361, 0.263160876058454, 0.622553342562098, 0.3699425380726501)
(0.19536063791228706, 0.5422535211267606, 0.2872368771649347, 0.19568312365432752, 0.5250328070598692, 0.2851055605352426)
(0.2104384133611691, 0.5070422535211268, 0.2974328710534081, 0.26463046975631715, 0.5633057495108784, 0.3600950451024783)
(0.2666136092319936, 0.6740442655935613, 0.38209295694325635, 0.27872183638350284, 0.6143155531716736, 0.3834624643974712)
mean:37.96529846191406
mean OP, OR, OF1, CP, CR, CF1:
[0.2501701804338302, 0.7185110663983905, 0.36676754827496705, 0.27865161653292, 0.7406675741989879, 0.3991529189909392]
