5shot model: {'num_classes': 16, 'max_epoch': 150, 'resume': '/home/huangxiaobin/pytorch_projects/HP-DVAL/MKT-LT/MKT_LT_checkpoint/ema_fsl_First_Stage_al0.5_lr1e-05_clip_vit_topk16_coco_best_83.590_e15.ckpt', 'evaluation': False, 'threshold': 0.5, 'lr': 1e-05, 'train': False, 'dataset': 'coco', 'inp_seman': '/home/huangxiaobin/pytorch_projects/HP-DVAL/MKT-LT/data/coco/coco_glove_300_coco_sequence.pkl', 'data': '/data2/yanjiexuan/coco/data', 'image_size': 224, 'workers': 4, 'batch_size': 64, 'epis': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'shot': 5, 'fix_sample': False, 'ctx_init': 'a photo of a', 'n_ctx': 4, 'class_token_position': 'end', 'topk': 16, 'lamda': 1.0, 'alpha': 0.5}
=================================================>>>>>>> regular model mAPs for epi ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']:
[tensor(77.4846), tensor(77.9343), tensor(78.1626), tensor(80.1488), tensor(80.1156), tensor(79.7200), tensor(78.7005), tensor(79.0712), tensor(78.0893), tensor(78.1534)]
=================================================>>>>>>> OP, OR, OF1, CP, CR, CF1:
(0.09968611447667994, 0.9972528387333089, 0.18125395283529877, 0.0996745731379205, 0.9972801558185985, 0.18123532577264234)
(0.2678308715353381, 0.9090984752646648, 0.4137625382587351, 0.2817344521490968, 0.9135382357222155, 0.43065519185720885)
(0.316425574550692, 0.9239963427811487, 0.47141391096372565, 0.3225045272482453, 0.9244233266940332, 0.47818437451716456)
(0.30072240190654526, 0.9388660067760579, 0.45553514158165315, 0.3114754614514079, 0.9398424839106525, 0.46788727429783034)
(0.3316196747812857, 0.9272609432645329, 0.48852602547826474, 0.34043944474052723, 0.9293216933205193, 0.49832642026275903)
(0.30172373031842514, 0.9545265677198465, 0.4585126342261786, 0.311184390391208, 0.956319801444748, 0.46957129822279936)
(0.36836363149581003, 0.9143849272280189, 0.5251631741669529, 0.39280610193532156, 0.918033571434368, 0.550195719532811)
(0.39315546470235785, 0.9266643406602535, 0.552080136993081, 0.42151571929962095, 0.9287482906126208, 0.5798599398221626)
(0.38815079790380613, 0.9258158759669334, 0.5469791252923784, 0.4084740345004836, 0.9282298380252635, 0.5673025936035905)
(0.42519101793032377, 0.8753667390475559, 0.5723668523616501, 0.44633603249595777, 0.8854449991466057, 0.5934999801357014)
=================================================>>>>>>> OP_k, OR_k, OF1_k, CP_k, CR_k, CF1_k:
(0.40509579300809795, 0.8195531284339516, 0.5421921640763545, 0.4188376728561858, 0.8326206510971679, 0.5573224280867679)
(0.4379236773165528, 0.8097243491577335, 0.5684254806990074, 0.47007817915899597, 0.8207115798431797, 0.5977714068100762)
(0.46699107565725323, 0.8359571107971074, 0.5992325933340483, 0.4779342560873901, 0.8376625795667564, 0.6086175201514823)
(0.4768905202442039, 0.8458446821231648, 0.6099109024717378, 0.4968158741016062, 0.8499949617806741, 0.6270977017234777)
(0.4894953970739906, 0.8518296938877256, 0.621723573291285, 0.5044705625796093, 0.855347627860469, 0.6346402806808451)
(0.4723897102686233, 0.8555021855834594, 0.6086797138295986, 0.506822287095323, 0.860631793986026, 0.6379554241850992)
(0.5009207003294615, 0.8361467402139962, 0.6265102237714358, 0.5296056993592146, 0.8420919654126006, 0.6502551046353281)
(0.5081426469281136, 0.8548571998205652, 0.6374019796092811, 0.5428268020777367, 0.8595365408565383, 0.6654188076049588)
(0.5019665586212348, 0.8431824972610471, 0.6292974218566101, 0.5306830510651467, 0.8486067714733542, 0.6530045002597018)
(0.5215177915398341, 0.8235674385453099, 0.6386287829613302, 0.5484785035610088, 0.8350119576491728, 0.6620733887624382)
mean:78.75802612304688
mean OP, OR, OF1, CP, CR, CF1:
[0.31928692796012637, 0.929323305744232, 0.46655934921579184, 0.33361447373497893, 0.9321182396129624, 0.481671811802467]
